iter	Passed	Remaining
0	49	49826
1	51	25869
2	54	17957
3	54	13548
4	54	10901
5	55	9134
6	59	8446
7	60	7534
8	62	6892
9	64	6359
10	68	6148
11	69	5759
12	71	5442
13	72	5074
14	72	4754
15	72	4475
16	73	4237
17	73	4017
18	74	3822
19	74	3645
20	74	3485
21	75	3342
22	75	3209
23	75	3087
24	76	2974
25	76	2870
26	76	2774
27	77	2685
28	77	2602
29	78	2524
30	78	2452
31	78	2386
32	79	2324
33	79	2265
34	80	2208
35	80	2155
36	80	2105
37	81	2056
38	81	2010
39	81	1967
40	82	1926
41	82	1886
42	83	1849
43	83	1813
44	83	1779
45	84	1746
46	84	1714
47	84	1684
48	85	1655
49	85	1627
50	85	1600
51	86	1574
52	86	1549
53	87	1526
54	87	1502
55	87	1480
56	88	1458
57	88	1438
58	88	1418
59	89	1398
60	89	1380
61	90	1362
62	90	1344
63	90	1327
64	91	1311
65	91	1295
66	91	1280
67	92	1264
68	92	1250
69	93	1236
70	93	1222
71	93	1208
72	94	1195
73	94	1182
74	94	1169
75	95	1157
76	95	1145
77	95	1133
78	96	1122
79	96	1111
80	96	1100
81	97	1089
82	97	1077
83	97	1066
84	98	1056
85	98	1047
86	98	1037
87	99	1028
88	99	1019
89	99	1010
90	100	1001
91	100	993
92	100	984
93	101	976
94	101	968
95	101	960
96	102	952
97	102	944
98	102	937
99	103	929
100	103	922
101	103	915
102	104	908
103	104	901
104	105	895
105	105	888
106	105	882
107	106	876
108	106	869
109	106	864
110	107	858
111	107	852
112	107	847
113	108	841
114	108	836
115	108	830
116	109	824
117	109	818
118	109	814
119	110	808
120	110	803
121	110	798
122	111	793
123	111	788
124	111	783
125	112	779
126	112	774
127	112	769
128	113	765
129	113	760
130	114	756
131	114	752
132	114	747
133	115	743
134	115	739
135	115	735
136	116	731
137	116	727
138	116	723
139	117	719
140	117	715
141	117	710
142	118	707
143	118	703
144	118	699
145	119	696
146	119	692
147	119	689
148	120	685
149	120	682
150	120	678
151	121	675
152	121	672
153	121	669
154	122	666
155	122	663
156	122	660
157	123	656
158	123	654
159	124	651
160	124	647
161	124	644
162	124	641
163	125	639
164	125	636
165	126	633
166	126	630
167	126	628
168	127	625
169	127	622
170	127	619
171	128	617
172	128	614
173	129	612
174	131	620
175	131	617
176	132	615
177	133	616
178	135	621
179	135	619
180	138	625
181	139	628
182	141	630
183	141	628
184	142	626
185	145	636
186	145	634
187	146	631
188	146	628
189	146	626
190	147	623
191	147	620
192	147	618
193	148	615
194	148	613
195	148	611
196	149	608
197	149	605
198	149	603
199	150	601
200	153	610
201	154	608
202	154	607
203	155	605
204	155	603
205	156	601
206	160	615
207	161	613
208	161	610
209	161	608
210	162	607
211	162	605
212	165	610
213	165	608
214	166	606
215	166	604
216	168	607
217	168	604
218	169	605
219	170	604
220	171	603
221	171	601
222	172	600
223	172	597
224	174	602
225	175	600
226	175	598
227	176	596
228	176	594
229	177	593
230	177	592
231	178	591
232	178	589
233	180	590
234	181	590
235	181	588
236	182	586
237	184	591
238	185	590
239	185	588
240	186	587
241	186	585
242	192	598
243	192	596
244	193	595
245	193	593
246	193	590
247	198	603
248	201	607
249	201	605
250	202	603
251	202	602
252	203	600
253	203	598
254	204	596
255	208	605
256	208	603
257	210	604
258	211	604
259	212	604
260	214	606
261	215	607
262	217	608
263	217	606
264	219	610
265	220	607
266	222	611
267	223	610
268	224	609
269	225	610
